"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","search_s",68917.9169969734,806420.303036514,0.00279106473642678,5136.43505118798,0.00148990652387109,806420.303036514,0.00279106473642678,5136.43505118798,0.00148990652387109,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,2429880,15476.9426751592,22133.7374082445,6656.7947330853,4428.11798761953,0.0644012269879381,0.0314427682612649,0.286110640877848,0.331876595978614,3.01316818394883,6,FALSE,0.436612998159058,0.0341106048302682,0.137438542215665,0.733732401548661,0.00215260528945617
"12","newsletter",349406.817168179,3845512.53897052,0.0133095290391289,24493.7104393026,0.00710479907049267,3845512.53897052,0.0133095290391289,24493.7104393026,0.00710479907049267,TRUE,1,0.902915138780089,NA,NA,0.0695522095582091,NA,NA,0.0695522095582091,0.316949352595034,0,43615.2115695099,0.00056613,65481090.2533626,1e-04,"2_463_3",2,463,3,1389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,0.0905308466218109
"13","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"14","trend",0.407959813286982,115507298.364269,0.399803562495639,735715.276205537,0.214935147378388,115507298.364269,0.399803562495639,735715.276205537,0.214935147378388,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"15","season",0.368624106992544,126373.81027524,0.000437415646194511,804.928727867772,0.000235155474337364,126373.81027524,0.000437415646194511,804.928727867772,0.000235155474337364,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"16","holiday",0.784824363807774,2192419.71435732,0.00758858725551211,68513.1160736663,0.0200157277915922,2192419.71435732,0.00758858725551211,68513.1160736663,0.0200157277915922,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_b",0.163253674193642,142232629.752435,0.492307524142884,905940.316894492,0.264665451194658,142232629.752435,0.492307524142884,905940.316894492,0.264665451194658,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"18","events",0.949491913169457,1538019.76813412,0.0053235231989371,1538019.76813412,0.449323965705488,1538019.76813412,0.0053235231989371,1538019.76813412,0.449323965705488,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"19","tv_s",564101.146827072,7481424.49377483,0.0258953348187613,47652.3853106677,0.0139213807174214,7481424.49377483,0.0258953348187613,47652.3853106677,0.0139213807174214,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,7774236.44,49517.4295541401,55116.7787851118,5599.34923097165,19267.7563505691,0.206047362680601,0.309998228266051,0.389110592453159,0.962335600610422,1.03913852856081,3,FALSE,0.891359556348242,0.0820885934916101,0.362407105436967,1.4252771189027,0.164378921787404
"20","ooh_s",194302.047490564,10742009.0453597,0.0371811439234881,68420.439779361,0.0199886529249702,10742009.0453597,0.0371811439234881,68420.439779361,0.0199886529249702,TRUE,1,0.899767744717867,NA,NA,0.0706706239092713,NA,NA,0.0706706239092713,0.259211381532806,0,69327.1297441333,0.000958831,65481090.2533626,1e-04,"2_546_2",2,546,2,1637,1,24719081.6,157446.379617834,163865.362053308,6418.98243547388,69006.7245205754,0.655151359349006,0.445102904513738,0.438287146951703,0.434563436424745,2.30116000606778,3,FALSE,0.449829292768315,0.00746610041404845,0.401095773975095,0.497765651117371,0.740870279485659
