"","facebook_s_alphas","facebook_s_gammas","facebook_s_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_s_alphas","ooh_s_gammas","ooh_s_thetas","print_s_alphas","print_s_gammas","print_s_thetas","search_s_alphas","search_s_gammas","search_s_thetas","tv_s_alphas","tv_s_gammas","tv_s_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"17",2.791355,0.8187756,0.00452424,2.4951025,0.855513,0.357907,0.52117285,0.34339034,0.3931684,2.81512,0.6240111,0.100540258,2.71324,0.8949167,0.102615,2.7284775,0.6838016,0.3089012,1,0.895054645170095,NA,NA,0.0723130674759924,NA,NA,0.0723130674759924,0.1742750089318,0,146778.209662971,0.00214175,65481090.2533626,1e-04,1,0.638669967651367,519.68232011795,"4_621_1",4,621,1,1861,FALSE,TRUE,1,0.0112758058021321,2,FALSE
"18",2.9643275,0.6904579,0.0380184,2.6660075,0.7293436,0.3758863,0.5112129,0.31929011,0.3785731,2.7476225,0.5111018,0.12735007,2.760205,0.9369405,0.0641607,2.4257575,0.8425714,0.3161729,1,0.895434847072267,NA,NA,0.0721819587081616,NA,NA,0.0721819587081616,0.188501167673234,0,139522.320902535,0.00203093,65481090.2533626,1e-04,1,0.645082950592041,543.52729511261,"4_649_3",4,649,3,1947,FALSE,TRUE,1,0.0149574305640767,6,FALSE
"19",2.7237225,0.8954228,0.00736926,2.64534,0.8049338,0.3659482,0.513345775,0.31545985,0.3985996,2.99029,0.5776424,0.11169037,2.79168,0.9169534,0.0767595,2.567595,0.8215252,0.3192569,1,0.894111341754421,NA,NA,0.0726373341615663,NA,NA,0.0726373341615663,0.149818609708781,0,165820.170754808,0.00243258,65481090.2533626,1e-04,1,0.638318061828613,546.718550205231,"4_653_3",4,653,3,1959,FALSE,TRUE,1,0.00843634835646784,NA,NA
"20",2.727085,0.7241594,0.050001,2.667555,0.9621937,0.3428101,0.50171961,0.30933093,0.3862744,2.8213575,0.4683129,0.10399528,2.71324,0.8949167,0.102615,2.7284775,0.6838016,0.3089012,1,0.895762796241305,NA,NA,0.0720686771674403,NA,NA,0.0720686771674403,0.188991089630765,0,146778.209662971,0.00214175,65481090.2533626,1e-04,1,0.799150943756104,553.348007202148,"4_661_1",4,661,1,1981,FALSE,TRUE,1,0.0149821309292513,4,FALSE
"21",2.7237225,0.8954228,0.0888681,2.9032575,0.8049338,0.3659482,0.513345775,0.31545985,0.3985996,2.99029,0.5776424,0.11169037,2.79168,0.9169534,0.0767595,2.567595,0.8215252,0.3192569,1,0.894259819714186,NA,NA,0.0725863899588054,NA,NA,0.0725863899588054,0.158294538357025,0,165820.170754808,0.00243258,65481090.2533626,1e-04,1,0.817177057266235,555.334195137024,"4_663_3",4,663,3,1989,FALSE,TRUE,1,0.00879879414520977,2,FALSE
"22",2.526305,0.7700682,0.0695064,2.6239925,0.9520045,0.3870085,0.5123913,0.303171651,0.3971848,2.495995,0.5214807,0.12585715,2.1786,0.6977008,0.2330232,2.3588225,0.6802876,0.32634335,1,0.898347369887651,NA,NA,0.0711695933275347,NA,NA,0.0711695933275347,0.230060713351509,0,65067.2905576805,0.00089377,65481090.2533626,1e-04,1,0.581747055053711,348.488875150681,"5_428_1",5,428,1,1282,FALSE,TRUE,1,0.0274040378423593,6,FALSE
"23",2.6081725,0.619564,0.00667491,2.378975,0.8981395,0.391636,0.501045325,0.34052951,0.3986971,2.5887525,0.4608152,0.1746745,1.7307925,0.7580807,0.2578626,2.1500125,0.6647196,0.3144451,1,0.899406894439477,NA,NA,0.0707977217342153,NA,NA,0.0707977217342153,0.251479876262705,0,58169.285644606,0.000788416,65481090.2533626,1e-04,1,0.595899105072021,377.544055938721,"5_465_3",5,465,3,1395,FALSE,TRUE,1,0.0343591027543383,6,FALSE
"24",2.8744525,0.34529007,0.1027662,2.806255,0.8314141,0.3946579,0.516593275,0.32757986,0.3935791,2.6326075,0.4585409,0.1725265,2.7548475,0.975549,0.1578591,1.7617575,0.34403161,0.32120915,1,0.90513150317485,NA,NA,0.0687537172776392,NA,NA,0.0687537172776392,0.403041212816433,0,10344.9908191948,5.79902e-05,65481090.2533626,1e-04,1,0.701155185699463,387.300720930099,"5_477_3",5,477,3,1431,FALSE,TRUE,1,0.0848390707807976,1,FALSE
"25",2.6882025,0.3757491,0.0726141,2.78219,0.7698043,0.3750715,0.513301575,0.34091353,0.3937594,2.8867925,0.4102465,0.2038405,2.897535,0.5056404,0.2398857,2.61981,0.306218751,0.3215354,1,0.904214974335751,NA,NA,0.0690850353676441,NA,NA,0.0690850353676441,0.347388442885855,0,26043.0884742705,0.000297749,65481090.2533626,1e-04,1,0.612318992614746,391.369858026505,"5_482_2",5,482,2,1445,FALSE,TRUE,1,0.0661989812958826,1,FALSE
"26",2.6882025,0.8680052,0.0609789,2.4272425,0.7312406,0.3379636,0.5098216,0.3499611,0.3971488,2.8867925,0.4102465,0.2038405,2.897535,0.5056404,0.2398857,2.61981,0.306218751,0.3215354,1,0.902613693752749,NA,NA,0.0698830173381614,NA,NA,0.0698830173381614,0.288574358020494,0,26043.0884742705,0.000297749,65481090.2533626,1e-04,1,0.592115163803101,398.825833082199,"5_492_2",5,492,2,1475,FALSE,TRUE,1,0.0465595612371086,3,TRUE
